{NN_}{VBD_}	sup=81
{JJ_}{VBN_}{VB_}	sup=2
{JJ_}{year}{JJ_}{NNS_ sea}	sup=2
{JJ_}{year}{VBD_}{NNS_}	sup=2
{JJ_}{cannon}{NN_}	sup=2
{JJ_}{VBG_ call}{NN_}	sup=2
{JJ_}{us PP_}{VBP_}	sup=2
{JJ_}{get}	sup=2
{JJ_}{leave}	sup=2
{JJ_}{light}{NN_}	sup=2
{JJ_}{lie}	sup=2
{JJ_}{soul}	sup=2
{JJ_}{tale}	sup=2
{JJ_}{moon}{JJ_}	sup=2
{JJ_ mighty}{NN_ treasure}{NN_ hold}	sup=2
{JJ_ go}{NN_}	sup=2
{JJ_ cold}{NN_}{NN_ blade}	sup=2
{JJ_ many}{NN_ year}{NNS_}	sup=2
{JJ_ many}{NNS_}{NN_}	sup=2
{JJ_ many}{NNS_}{JJ_}	sup=2
{JJ_ many}{NNS_ year}{VBD_}	sup=2
{JJ_ many}{JJ_}{NN_}	sup=2
{JJ_ many}{VBD_}{VBG_}{NN_}	sup=2
{JJ_ many}{VBP_}	sup=2
{JJ_ many}{MD_}{VB_}	sup=2
{JJ_ black}{NN_ spot}{NN_ hand}	sup=2
{JJ_ dead}{NN_ daylight}	sup=2
{JJ_ dead}{NN_ meet}	sup=2
{JJ_ empty}{NN_}	sup=2
{JJ_ sure}{NN_}	sup=2
{JJ_ countless}{NNS_}{VBD_}{JJ_}{NNS_}	sup=2
{JJ_ lead}	sup=2
{JJ_ port}{NN_}	sup=2
{JJ_ thunderous}{NN_}	sup=2
{JJ_ ready}{NN_}	sup=2
{JJ_ little}{NN_}	sup=2
{JJ_ old}{NN_}{NN_}{NN_}	sup=2
{JJ_ deep}{NN_}	sup=2
{JJ_ first}{NN_}{NN_}	sup=2
{JJ_ first}{NN_ light}	sup=2
{JJ_ first}{VBZ_}{NN_}	sup=2
{JJ_ yer}{JJ_ wee}{NN_ bit}{NN_ hill}{NN_ glen}{VBD_ stand}	sup=2
{JJ_ terrifying}{JJ_ deadly}{NN_ trip}	sup=2
{JJ_ great}{NN_}	sup=2
{JJ_ nasty}{NN_}	sup=2
{JJ_ ol}{NN_ nancy}{NN_ care}{come VBZ_}{NN_ inn}	sup=2
{JJ_ forbidden}{NN_ treasure}{JJ_ old}	sup=2
{JJ_ endless}{NN_}{VBD_}	sup=2
{JJ_ faraway}{NN_ land}	sup=2
{JJ_ mere}{NN_}	sup=2
{JJ_ jolly}{NN_ roger}{NN_}	sup=2
{JJ_ good}{NNS_}	sup=2
{JJ_ foreign}	sup=2
{quest}{NN_}{NN_}	sup=2
{quest}{JJ_}{NN_}	sup=2
{come}{NN_}{NN_ time}	sup=2
{come}{back RB_}{JJ_ mighty}{NN_ quest}	sup=2
{come VBD_}{JJ_}{NN_}	sup=2
{come VB_}{VB_ take}{NN_ drink}{VB_ drown}{NNS_ sorrow}	sup=2
{come VB_}{VB_ meet}{NN_ destiny}{VB_ ignore}	sup=2
{come VB_}{RB_}	sup=2
{come VBN_}{NN_}	sup=2
{come VBP_}{VBZ_ let}{VB_ give}{NN_ em}{NN_ hell}	sup=2
{VBD_}{NN_}{JJ_}{NN_}	sup=2
{VBD_}{NN_}{VBD_ get}	sup=2
{VBD_}{NN_}{VBN_}	sup=2
{VBD_}{NN_}{VBP_}{NN_}	sup=2
{VBD_}{NN_}{RB_}	sup=2
{VBD_}{NN_}{MD_}{VB_}	sup=2
{VBD_}{NN_ isle}	sup=2
{VBD_}{NNS_}{VBN_}	sup=2
{VBD_}{JJ_}{NN_}{JJ_}	sup=2
{VBD_}{JJ_}{NNS_}{VBD_}	sup=2
{VBD_}{IN_}{NN_}	sup=2
{VBD_}{VBP_}{JJ_}{NN_}	sup=2
{VBD_}{MD_ would}{VB_}	sup=2
{VBD_}{us PP_}{NN_ quest}	sup=2
{VBD_}{us PP_}{VBP_ map}{NN_}	sup=2
{VBD_}{man}	sup=2
{VBD_}{begin}	sup=2
{VBD_ kill}{steal VB_}{NN_ gold}	sup=2
{VBD_ take}{NNS_}{NN_}	sup=2
{VBD_ know}{NN_ end}	sup=2
{VBD_ know}{VB_}	sup=2
{VBD_ swear}{NN_}	sup=2
{VBD_ turn}	sup=2
{VBD_ begin}	sup=2
{across IN_}{sea}	sup=2
{IN_}{NN_}{VBD_}	sup=2
{IN_}{NN_}{VBN_}	sup=2
{IN_}{JJ_}{NN_}{NN_}{NN_}	sup=2
{IN_}{IN_}	sup=2
{IN_}{ship}{NN_}{NN_}	sup=2
{IN_}{many}	sup=2
{IN_ beneath}{NN_}	sup=2
{IN_ since}	sup=2
{IN_ like}{NN_}{NN_}	sup=2
{IN_ like}{JJ_}{NN_}	sup=2
{IN_ upon}{NN_}	sup=2
{another DT_}{NN_ day}	sup=2
{time}{VBG_}	sup=2
{land}{NN_ sea}	sup=2
{land}{VBD_}	sup=2
{sea}{JJ_}{NN_}	sup=2
{treasure}{JJ_}{NNS_}	sup=2
{hold}{RB_}	sup=2
{hold VB_}{NN_ breath}{NN_ close}{NNS_ eye}{VBP_ hang}	sup=2
{hold VBN_}	sup=2
{kill}{NN_}{NN_}	sup=2
{kill VBN_}{NN_}	sup=2
{VB_}{NN_}{NN_}{JJ_}	sup=2
{VB_}{NN_}{NN_ land}	sup=2
{VB_}{NN_}{MD_}	sup=2
{VB_}{NN_}{give}{NN_}	sup=2
{VB_}{NN_ crew}	sup=2
{VB_}{NNS_}{RB_}	sup=2
{VB_}{JJ_}{NN_}{VBD_}	sup=2
{VB_}{JJ_}{NN_ day}	sup=2
{VB_}{JJ_}{JJ_}{NN_ beer}	sup=2
{VB_}{JJ_ mighty}{NN_}	sup=2
{VB_}{JJ_ little}	sup=2
{VB_}{VB_ call}{JJ_}	sup=2
{VB_}{VBP_}{NN_}	sup=2
{VB_}{back RB_}{NN_ beer}{NNS_}	sup=2
{VB_}{back RB_}{JJ_}{NN_}	sup=2
{VB_}{us PP_}	sup=2
{VB_}{still}	sup=2
{VB_}{tale}	sup=2
{VB_}{sight}	sup=2
{VB_ hear}{NN_ terror}{NNS_ fire}{VBP_ burn}{NNS_ cannon}{JJ_ sound}	sup=2
{VB_ sail}{JJ_ endless}{NNS_ ocean}	sup=2
{VB_ sail}{VB_ conquer}{NN_ til}{NN_ die}	sup=2
{VB_ sail}{VBG_ rage}{NNS_ sea}	sup=2
{VB_ know}{JJ_}	sup=2
{VB_ die}{NN_}	sup=2
{VB_ get}{JJ_ drunk}{NN_}{NN_}	sup=2
{VB_ get}{JJ_ drunk}{MD_ can}{VB_ think}	sup=2
{VB_ make}{JJ_ bastard}{NN_ walk}{NN_ plank}	sup=2
{VB_ raise}{NN_ fist}{NN_ sky}	sup=2
{VB_ feel}{NN_ anger}{VBG_ rage}{NN_ body}{NNS_ tire}	sup=2
{VB_ head}	sup=2
{VB_ find}{NN_}	sup=2
{VB_ see}{NN_ slaughter}{NN_ cutlass}{NNS_ swing}{NNS_ pistol}{NN_ fire}	sup=2
{VB_ see}{NN_ city}{NN_ fall}	sup=2
{VB_ see}{JJ_}{NN_}	sup=2
{VB_ throw}{RB_ overboard}	sup=2
{VB_ keelhaul}{JJ_ filthy}{NN_ landlubber}	sup=2
{VB_ bring}{NN_}	sup=2
{VB_ herald}{NN_}	sup=2
{VB_ write}{NN_}	sup=2
{VB_ give}{VB_}{JJ_}	sup=2
{VB_ stop}{NN_ dawn}{NN_ sun}	sup=2
{VB_ survive}{PP_ one}{VB_ tell}	sup=2
{gold}{NNS_}	sup=2
{VBN_}{NN_}{NN_ sail}	sup=2
{VBN_}{NN_}{JJ_}{NN_}{NN_}	sup=2
{VBN_}{NN_ treasure}	sup=2
{VBN_}{NN_ ship}	sup=2
{VBN_}{NN_ name}	sup=2
{VBN_}{NNS_}{NNS_}	sup=2
{VBN_}{NNS_}{JJ_}{NN_}	sup=2
{VBN_}{NNS_}{VBD_}	sup=2
{VBN_}{JJ_}{NN_}{NN_}{NN_}	sup=2
{VBN_}{JJ_}{NN_}{NN_ hand}	sup=2
{VBN_}{JJ_ old}{NN_}	sup=2
{VBN_}{RB_}{VB_}	sup=2
{VBN_}{RB_}{MD_ could}	sup=2
{VBN_}{MD_ could}{VB_}	sup=2
{VBN_}{VBZ_}{JJ_}	sup=2
{VBN_}{stand}	sup=2
{VBN_}{port}{NN_}	sup=2
{VBN_}{live}	sup=2
{VBN_}{tear}{NN_}	sup=2
{VBN_}{good}{NNS_}	sup=2
{VBN_ take}{JJ_}{NN_}	sup=2
{VBN_ hear}{NN_}	sup=2
{VBN_ set}{NN_ sail}{JJ_}{NN_}	sup=2
{VBN_ set}{NN_ sail}{VB_ conquer}{NN_ quest}{JJ_ distant}{NNS_ land}	sup=2
{VBN_ set}{NN_ sail}{VB_ conquer}{NN_ destiny}{NNS_ hand}	sup=2
{VBN_ sell}	sup=2
{VBN_ draw}	sup=2
{VBN_ make}{MD_ could}	sup=2
{VBN_ seize}	sup=2
{VBN_ shipwreck}{VBD_ shipwreck}{VB_ get}{JJ_ drunk}{NN_ die}	sup=2
{VBN_ sink}{NN_ n}{JJ_ norwegian}{NN_}	sup=2
{VBN_ abandon}{NN_ fate}{NN_ chance}{NN_ return}	sup=2
{pirate}{NNS_}	sup=2
{VBP_}{NN_}{NN_ time}	sup=2
{VBP_}{NN_ fight}	sup=2
{VBP_}{JJ_}{NN_}{NNS_}	sup=2
{VBP_}{come}	sup=2
{VBP_}{VB_ go}	sup=2
{VBP_}{VBN_ do}	sup=2
{VBP_ know}{NNS_ day}{JJS_ good}{NNS_ life}	sup=2
{VBP_ stand}{RB_ alone}{bow VB_}{NN_ ship}	sup=2
{VBP_ sit}{back RB_}{VB_ sing}{NN_ song}	sup=2
{RB_}{NN_}{NN_ fate}	sup=2
{RB_}{NN_}{VBD_}	sup=2
{RB_}{NN_ beer}{NNS_}{JJ_}	sup=2
{RB_}{JJ_}{NNS_ sea}	sup=2
{RB_}{JJ_}{JJ_}	sup=2
{RB_}{come}	sup=2
{RB_}{VBD_}{NNS_}	sup=2
{RB_}{land}	sup=2
{RB_}{VB_}{NN_}{NN_}	sup=2
{RB_}{VB_}{NNS_}	sup=2
{RB_}{VB_}{JJ_}{NN_}	sup=2
{RB_}{VBN_}{NN_}{NN_}	sup=2
{RB_}{VBN_}{VBD_}	sup=2
{RB_}{VBP_}{NN_}	sup=2
{RB_}{RB_}{VB_}	sup=2
{RB_}{sail}	sup=2
{RB_}{stand}	sup=2
{RB_ sure}	sup=2
{RB_ soon}{VB_}	sup=2
{RB_ yet}{NN_}{NNS_}	sup=2
{RB_ still}{VB_}	sup=2
{RB_ far}	sup=2
{RB_ forever}{VBN_ tell}	sup=2
{RB_ alone}{JJ_}	sup=2
{must MD_}{VB_}{VB_}	sup=2
{MD_}{VB_}{NN_}{NN_}	sup=2
{MD_}{VB_}{NN_}{JJ_}	sup=2
{MD_}{VB_}{JJ_}{NN_}	sup=2
{MD_}{VB_}{VBN_}{NN_}	sup=2
{MD_ shall}{JJ_}	sup=2
{MD_ could}{VB_}{JJ_}	sup=2
{MD_ may}{NN_}	sup=2
{MD_ would}{VB_}{NNS_}{NN_}	sup=2
{MD_ would}{VB_ take}{NN_}	sup=2
{MD_ would}{VB_ see}	sup=2
{MD_ would}{RB_}	sup=2
{MD_ might}	sup=2
{go}{NN_}{NN_}	sup=2
{go}{JJ_}{NN_}	sup=2
{go}{VBG_}{NN_}	sup=2
{CD_}{NN_}{NNS_}	sup=2
